title,count,comment_text,vote,reply,date
Sleepless Chang An 不夜长安- Michal Cielecki | 王者荣耀 Honor of Kings Chinese New Year 2021,3,"A wonderful piece. Thanks to these amazing epic musical creations, Asian video games have a strong global popularity. There are many cases in which certain types of people log in to a video game just to enjoy listening to these types of ambiental music.",6,0,3 years ago
Sleepless Chang An 不夜长安- Michal Cielecki | 王者荣耀 Honor of Kings Chinese New Year 2021,3,Greetings from Poland for mr. composer!,5,0,3 years ago
Sleepless Chang An 不夜长安- Michal Cielecki | 王者荣耀 Honor of Kings Chinese New Year 2021,3,"谢谢你 !!!!!!!!!!!!!!!
找很久了",3,0,3 years ago
王者荣耀CG动画 不夜长安,10,"好好看w
╮(￣▽￣"""")╭
 @user-uu3yo5ko4w 
 (｡･ω･｡)
雨女-无瓜 你好
 @Apple.6969 
 你好…",2,0,3 years ago
王者荣耀CG动画 不夜长安,10,沒打王者w 點完讚 看完就走,1,1 reply,3 years ago
王者荣耀CG动画 不夜长安,10,"求背景音乐
【云深不知处-七音盒】我的频道下滑就有我自己喜欢的音乐呀，不打算听听
 @user-uu3yo5ko4w 
 我都没有去看，我现在看看，你也去我频道的播放列表看看（划掉",1,0,3 years ago
王者荣耀CG动画 不夜长安,10,"╮(￣▽￣"""")╭",0,,3 years ago
王者荣耀CG动画 不夜长安,10,"@user-uu3yo5ko4w 
 (｡･ω･｡)",0,,3 years ago
王者荣耀CG动画 不夜长安,10,雨女-无瓜 你好,0,,3 years ago
王者荣耀CG动画 不夜长安,10,"@Apple.6969 
 你好…",0,,3 years ago
王者荣耀CG动画 不夜长安,10,,0,,3 years ago
王者荣耀CG动画 不夜长安,10,【云深不知处-七音盒】我的频道下滑就有我自己喜欢的音乐呀，不打算听听,0,,3 years ago
王者荣耀CG动画 不夜长安,10,"@user-uu3yo5ko4w 
 我都没有去看，我现在看看，你也去我频道的播放列表看看（划掉",0,,3 years ago
盘点王者1~8周年CG动画，你是从什么时候入坑的？,1,玩8年了，充滿感動,0,0,3 months ago
Full Game CG | King of Glory X Journey to the West: The Princess of India 王者荣耀CG公孙离 天竺公主 玉兔精 HOK KOG,7,Sunli so cute,10,0,1 year ago
Full Game CG | King of Glory X Journey to the West: The Princess of India 王者荣耀CG公孙离 天竺公主 玉兔精 HOK KOG,7,Am from india. Such a beautiful video,6,0,1 year ago (edited)
Full Game CG | King of Glory X Journey to the West: The Princess of India 王者荣耀CG公孙离 天竺公主 玉兔精 HOK KOG,7,"好看
Ni hao",7,1 reply,1 year ago
Full Game CG | King of Glory X Journey to the West: The Princess of India 王者荣耀CG公孙离 天竺公主 玉兔精 HOK KOG,7,"Всем привет, автор молодец 
 Есть перевод этих видео на русский язык?",0,0,2 weeks ago
Full Game CG | King of Glory X Journey to the West: The Princess of India 王者荣耀CG公孙离 天竺公主 玉兔精 HOK KOG,7,"Journey to the West : The Princess of India
is it upcoming donghua or already arrived ?
Just a Game CG Trailer. The Hero Gongsun Li new skin in King of Glory.
The game company made a 1~2min CG in order to sale more of this character skin in the game.",10,0,1 year ago
Full Game CG | King of Glory X Journey to the West: The Princess of India 王者荣耀CG公孙离 天竺公主 玉兔精 HOK KOG,7,Ni hao,1,,1 year ago
Full Game CG | King of Glory X Journey to the West: The Princess of India 王者荣耀CG公孙离 天竺公主 玉兔精 HOK KOG,7,"Just a Game CG Trailer. The Hero Gongsun Li new skin in King of Glory.
The game company made a 1~2min CG in order to sale more of this character skin in the game.",6,,1 year ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"武则天:元歌 你能用你傀儡假扮朕吗？
元歌:我拒绝 我不能背叛我的村长 成吉思汗
武则天:事成了 我让官方赐你新衣裳
元歌:皮肤什么的我无所谓 我只是想帮您",9,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"今天玩司空的时候听到一句台词我就发现不对劲。就是
司空镇开大的时候说 : 我是天帝
这我就想女帝是武则天，司空还称自己为天帝这我怀疑有问题
意思是拥有上帝的力量吧，武则天也不称天帝
 @lsololyolol6180 
 是你太年轻,还是我思想太肮脏
这英雄设计的就像个反派角色
司空想逆反！
张飞：英雄不就是比普通人更变态的变态
就沒有人覺得司空和司馬衣服一樣嗎
也有可能他是说我是天地，我没看他的语音总览，所以不是很清楚就是了",82,7 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"正纠结新长安CG的各种疑惑。就等着Alex做解释视频呢！你太棒了
聽他口音非常痛苦",11,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"司空震: 我是无辜的
嘿嘿，幕後黑手是策劃
一指滅天下",62,3 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"真的很危险，危险到我直接把司空震送上ban位
盾山可以挡完所以技能，永远的神
 @qiyuan233 
 芈月开大可以直接从盾山身上穿过去
會嗎？
好幾場5v5我用狄仁杰就壓制住司空震了",32,3 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,新賽季畫面有點…一言難盡？,30,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,阿离CG做的很漂亮,2,0,3 years ago (edited)
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,终于有解说，我好乱。,3,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,講得好,3,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"我选择相信司空震,因为他的代词和我有共鸣,我也一样想变得强大,想保护身边的人,保护万物和一切,我觉得天帝可能就是他获得力量的来源吧",0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,元歌拿着傀儡表示。不要看着我 不是我假冒女帝的,1,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"there was imposter among us
应该用there is
Wu Zetian was The Impostor...",15,2 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"为什么没有解释武则天是假冒的
其实我觉得是武则天派人炸他们，然后趁乱跑到集合地点，并叫阿离吸引狄仁杰一起过去，只为了避开司空镇
不 这个章节都叫真假女帝了 肯定有假有真的",5,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,这些事情还得问天美呀。,1,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,感觉像袁天罡呢,1,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"看来时空大人因该是王者峡谷重案组第5集的反派了，早就预料到了
，这就是为什么第4集到现在都还没跟新，个人猜测是在等时空大人在正式服出了才开始要第5集 （以上只是个人的猜测而不是确定的）
他長的就不正派啊
這麼明顯還要猜？",3,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,我又是第一,2,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,来了,1,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"我知道誰是真正的武則天
就是你丟兩顆榮耀水晶下去的武則天（連皮膚）
假的武则天是干将的老婆吧
或许是元歌",32,2 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,原来一塔是家乡啊~（doge),3,0,3 years ago (edited)
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"元歌變的
不是元歌，雖然王者一個世界觀，但是元歌是三國陣營的，串場機會不大。。",5,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,嘿嘿,2,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,司空的设计有点像反派，可是刚刚看来王者的cg又觉得他是个正派角色,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"来了第二
3",2,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"我更新王者后网络在200~300ms，你们有跟我一样的吗？
没有，反而网络很好，最高150ms~
我 80ms
78ms
60-70ms
更新后网络顺了，不会卡了
 @chum778 
 are you sure???
 @user-lk4kf4dv2w 
 ye",5,7 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"哎呀， 假的武则天肯定是元歌啦
我懷疑你在說蜀國是最終boss，劉備是幕後主使，可是我沒有證據
 @haredson5913",6,2 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"有没有可能是两个都是真的，但是在开头离开后偷偷见的尧天组织。
不同人",1,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"我看王者的那个漫画不是说，尧天成员发现了明世隐并不正义，所以才帮助长安吗
u1s1，漫画好看的不行",11,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,主要是武则天还把司空大人绿了...,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,对不起司空开大 就像zues arcana,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,不知道那个神秘乐器。在哪里找？,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"TM真可以，我更新差不多用了24小时更新完，结果载入游戏进度条卡住45%，天美牛逼连一个进度条都不会做，做其他没用的干嘛还做了2GB，崩溃
我也是45%卡住，所以我刪了重下就好了
这其实是卡了
 @user-ri4xu2mb8l 
 什么卡?手机卡?没卡
 @user-le6vf8lc6x 
 我从昨天更新到现在等待那么久让我删了。。。
这只是个bug
 @user-le6vf8lc6x 
 我也是，一模一样
我半个小时就更新好了，而且我也不会卡在进度条，前提我的网线不是很强~
至于增加容量是必然的，你要减少只有重新下载才能减少罢了~
ouhhh所以你们的意思是不是容量够就不会卡了
怎么更新 24小时那么久 我才更新十多分钟~ 就是更新安装完 读进度条那边 用了20分钟比较久~ 安装比下载还久",5,21 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,元歌？,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,明世隱不是反派英雄嗎,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"更新不到 下载不到的这里集合
️
️
我删掉后再下载多一次就进得去了
 @wut1873 
 我删了很多次 一直不可以 大概是我容量的问题了",1,2 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"元歌？ ！ ！
他在三分之地，不太可能來的
 @ltcl1119 
 傀儡",6,2 replies,3 years ago (edited)
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,1,1,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"可能假冒的武则天是小明
偽娘？
 @haredson5913 
 嗯....真香啊
没有是元歌
你可以去看下峡谷重案组这个动画 。你就知道女帝大概是谁假冒了
 @awj6105 
 出新的一季了？？
 @user-ke1ln8qm1g 
 还没
 @user-ke1ln8qm1g 
 我也在等",4,7 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"元歌很大可能是大boss
 @GN-0000EXIA 
 你有毒吧 真的不真的都是两边痣",0,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"武則天到低有多高
角色簡介有說",1,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,小明不是坏的吗,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,第8,2,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,野心大,1,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,难道是元歌搞的鬼?,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"CG假冒女帝有个小动作,瞄了一眼司空大人,所以我觉得假女帝是被司空控制的.
那個假女帝應該是元歌 (我只是亂說的 別噴)
 @Mark4200. 
 大家都猜是元歌",3,2 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,假女帝不会是元歌吧hhhh,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"司空用起来不太行，前期可以后期开始刮痧又脆
後期一個強化普攻一個小朋友勒",0,1 reply,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,假女帝是元歌傀儡？,0,0,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"谁有发现到假女帝有两个志而真女帝没有两个志
0:53
 你确定？那她脸上那两个黑豆是什么？
 @user-um8zi8rj5g 
 呃呃。。。。那个是胎记",2,2 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,"我来了我来了
所以到底哪一个是真正的武则天
跟着尧天组织才是真的武则天
很久之前峡谷重案组就有了的故事~
其中一個可能是方舟核心做去來的
你可以先去看「峡谷重案组」跟之前的CG哦，反正现在大部分时间都在家里
 @scp4008 
 对啊，那个十个月没更新了的动画真的很好看从第一季看起~
 @scp4008 
 他刚开始出的时候就开始看了结果没想到才更新到第四季~",8,6 replies,3 years ago
不夜长安CG细节揭秘! 司空大人是叛徒?! 出现两个女帝武则天?!【王者荣耀】,131,所以为什么开场的女帝是假的--_--,0,0,3 years ago
