title,count,comment_text,vote,reply,date
Música tema - KIC 2022 | Honor of Kings Brasil,88,"pfv invista nos brasileiros, n seja igual a concorrência q so desiste",97,10 replies,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,"Adorei a música 
 meu Neto faz faculdade designer de jogos e entretenimento digital",10,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Essa música ficou imensamente foda! Slc,40,1 reply,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,A animação está maravilhosa!!,25,1 reply,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Que Coisa Boa Tava esperando Pelo dia da música do Mundial,12,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,"Marina 
a bênção do movimento vira ao meu encontro em nome de Jesus amém",6,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,AI QUE LINDOOO MANOOOO,11,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,"bota essa música no lançamento global, na tela de login ou no lobby do jogo, ficaria mt foda",53,6 replies,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Meu neto faz designer de jogos e entretenimento digital faculdade se forma ano que vem música linda jogo lindo demais,4,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,"Amanhã lança o jogo, o hype ta insano. Bora pra cima Tencent. Rumo ao topo do Brasil.",5,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,MANO incrível,5,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Muito bravo,5,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Lindo demais,5,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Simplesmente incrível,4,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,"Investe mais em divulgação, que eu acredito que esse jogo só cresce mais e mais",4,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,adorei a música,4,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,"VALEEEEEU!!! 
🇧🇷",4,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Essa música ficou incrível!!!,3,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,mt bom,5,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Que daora mano,3,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,BRABO !,2,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Ficou massa demais,4,1 reply,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Deveria colocar as outra musicas temas dos anteriores kics que teve.,0,0,3 months ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Música 10/10,2,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,,3,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Coloque a música na tela inicial no lançamento,1,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Para cuando los servidores para  CENTRO  AMÉRICA,2,0,1 year ago (edited)
Música tema - KIC 2022 | Honor of Kings Brasil,88,"Top muito bom 
0:13",0,0,6 months ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,KIC 2022 CASTERS SBT ANCHOR CELSO PORTIOLLI/CARLOS NASCIMENTO/DENYA ROBINETTE/DARIUS ZIMENES/EDDIE SANDY,1,0,3 days ago (edited)
Música tema - KIC 2022 | Honor of Kings Brasil,88,i like this animation !,2,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Animação fodaaa,0,0,5 months ago
